"id","week_number","day_of_week","reading_title","reading_type","completed","completed_at"
"6eb15e72-35aa-4b35-ae8e-897e767907e2","23","2","2 Samuel 19-21","daily_reading","false",
"706683ef-eaf5-42b8-b4ed-78ff4ac110d5","25","4","2 Kings 7-9","daily_reading","false",
"7092a0c2-c6c3-40ec-89f0-d9dba2caac82","6","4","Exodus 4-6","daily_reading","false",
"70bea28d-cdd7-493d-9cf9-ea6524851f39","14","4","Deuteronomy 4-6","daily_reading","false",
"7259044a-e2f5-4497-94a0-326bfb0a28bd","36","4","Psalm 144-146","daily_reading","false",
"734f89d1-7d4d-4e9a-86e3-03b7e3624d1b","43","5","Isaiah 49-51","daily_reading","false",
"74461af2-38ef-4224-b6bc-46416f6b0c4a","21","2","1 Samuel 19-21","daily_reading","false",
"74b3505d-50ca-4a42-9ae4-44ec18c9ab8d","41","4","Isaiah 16-18","daily_reading","false",
"74f1949f-07af-4ffb-af69-3ba3004662ec","10","4","Leviticus 7-9","daily_reading","false",
"755e6711-9d37-4b67-af77-1fd2db200ee5","18",,"Memory: Psalm 23:4-6","memory_verse","false",
"7710d244-3fbe-403d-ad69-edaeac00c167","51","3","Ezekiel 40-42","daily_reading","false",
"777d794b-9031-4b8e-a922-c83a1de35be0","23","4","1 Kings 1-2","daily_reading","false",
"78e41e8a-fbac-4b69-89cc-5b6a0d660deb","46","4","Jeremiah 25-27","daily_reading","false",
"7a4b07e7-f627-4c10-b430-da3c384b1ac0","38","3","Proverbs 21-23","daily_reading","false",
"7b26a9d6-0a93-4cf4-9605-dc5665c2aff6","21","3","1 Samuel 22-24","daily_reading","false",
"7b8c5a24-a68b-480d-95b9-2eae4a8cf4de","9","1","Exodus 29-30","daily_reading","false",
"7c218a0c-095c-481b-8b38-9db14ee0af73","16","4","Joshua 1-3","daily_reading","false",
"7c27b815-bf26-4dd3-895d-1615bf700053","39","5","Ecclesiastes 10-12","daily_reading","false",
"7d3d59d6-9de3-4247-869d-9132c70e50ee","2",,"Genesis 12:1 - The Lord had said to Abram, Leave your country...","memory_verse","false",
"7de0c238-6da6-4c88-8e9a-753079272612","33",,"Memory: Psalm 139:7-12","memory_verse","false",
"7f1a9348-71bf-42a5-aeb5-a97c7db7b3d7","30",,"Memory: Psalm 139:7-12","memory_verse","false",
"7fab8d72-2450-4cd3-9efc-ae2daf6c37d0","46","5","Jeremiah 28-30","daily_reading","false",
"8113223b-981a-4303-8ded-e6e54f9db8ee","51","5","Ezekiel 46-48","daily_reading","false",
"816d117b-6c47-47a2-af4e-d0c5b3985ddc","10",,"Memory: Psalm 23:1-3","memory_verse","false",
"8182986e-b8ce-4a4b-98d7-0b20b2a1c86f","49","5","Ezekiel 16-18","daily_reading","false",
"84d4c3ec-3c05-4ea9-9de5-4a567ceb027c","39","3","Ecclesiastes 4-6","daily_reading","false",
"86dc0847-3fb9-4a3e-aba0-ed8bf3720023","7","4","Exodus 15-16","daily_reading","false",
"8772ec82-85d9-4640-85f7-4aa8ccca1164","24","5","1 Kings 18-20","daily_reading","false",
"877618fe-c08e-49ca-94ca-76198f2fa9af","1",,"Genesis 1:1 - In the beginning God created the heavens and the earth","memory_verse","false",
"883b99ad-3007-4d3c-8e06-9b8ee41c4fa0","26","1","2 Kings 13-15","daily_reading","false",
"8868debe-a6f0-4c4a-b630-fedf8fa7964d","5","1","Genesis 39-40","daily_reading","false",
"8ac571b5-9f50-4726-9ed5-e90ba498b8b0","20","2","1 Samuel 4-6","daily_reading","false",
"8f482386-ac0b-4b25-8fbd-e9c61a0684bf","9","4","Exodus 35-36","daily_reading","false",
"8f69588b-0034-429b-866f-251e3cea8cd9","33","3","Psalm 97-99","daily_reading","false",
"8fec9860-a229-49be-85c7-e6b29bb45d47","40","3","Song of Solomon 7-8","daily_reading","false",
"8ff348ea-c24e-4af2-b8a0-b55e2c1745ab","1","2","Genesis 3-4","daily_reading","false","""2025-09-02T02:24:24.386Z"""
"90b9dd72-3ace-4a30-a54f-e3c581f9182c","27","3","Psalm 7-9","daily_reading","false",
"9230913c-49e7-4cad-afeb-8bba92847a0c","40","5","Isaiah 4-6","daily_reading","false",
"93602d06-54ee-42f7-a632-f6b0d0f2e0b0","1","4","Genesis 8-9","daily_reading","false","""2025-09-04T01:17:07.729Z"""
"938216e4-9817-42f1-a8f8-1529f7386367","43","2","Isaiah 40-42","daily_reading","false",
"93d472c8-818c-434e-8869-614e01cac32c","37","5","Proverbs 12-14","daily_reading","false",
"94c8ed86-8121-4987-a884-1e81dada083d","52","4","Daniel 10-12","daily_reading","false",
"94f737dd-182f-4415-9ec5-ecab409d1f6c","36","5","Psalm 147-150","daily_reading","false",
"989f0be5-d890-4823-b58c-c6471cb97543","25","2","2 Kings 1-3","daily_reading","false",
"98a1199d-026d-4bcf-b195-6e1d79dd634a","8","5","Exodus 27-28","daily_reading","false",
"9a412834-eb40-4d43-ba1a-b7b5cdf4bc1d","35","4","Psalm 129-131","daily_reading","false",
"9a496d27-e126-4bb2-bcac-5c10574e577c","2","5","Genesis 16-17","daily_reading","false",
"9a98eee3-4c8c-4433-939b-94e2fb18aab3","42","2","Isaiah 25-27","daily_reading","false",
"9b0652c8-b03a-42b2-a81a-530e5b2d416d","37","2","Proverbs 3-5","daily_reading","false",
"9e2f0e1a-9021-4b9f-ba1c-999147cc9d15","46","1","Jeremiah 16-18","daily_reading","false",
"9e3d1934-4d71-4b38-86e0-76b08f80d2ce","45","2","Jeremiah 4-6","daily_reading","false",
"a043f0d9-2172-41a5-a919-6011f91f633e","8","3","Exodus 23-24","daily_reading","false",
"a08760c9-a21e-46b1-b253-8cab03f52dd9","47","1","Jeremiah 31-33","daily_reading","false",
